Com.Code;Item.Code;Item;Unit;Group;Moisture;Feedtype;Com.Group;120
c001;2805;Rice (Milled Equivalent);tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE
c002;2511;Wheat and products;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE
c003;2513;Barley and products;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE
c004;2514;Maize and products;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE
c005;2515;Rye and products;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE
c006;2516;Oats;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE
c007;2517;Millet and products;tonnes;Primary crops;0.12;Feed crops;Cereals;TRUE
c008;2518;Sorghum and products;tonnes;Primary crops;0.11;Feed crops;Cereals;TRUE
c009;2520;Cereals, Other;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE
c010;2531;Potatoes and products;tonnes;Primary crops;0.78;Feed crops;Roots and tubers;TRUE
c011;2532;Cassava and products;tonnes;Primary crops;0.7;Feed crops;Roots and tubers;TRUE
c012;2533;Sweet potatoes;tonnes;Primary crops;0.7;Feed crops;Roots and tubers;TRUE
c013;2534;Roots, Other;tonnes;Primary crops;0.75;Feed crops;Roots and tubers;TRUE
c014;2535;Yams;tonnes;Primary crops;0.74;Feed crops;Roots and tubers;TRUE
c015;2536;Sugar cane;tonnes;Primary crops;0.825;Feed crops;Sugar crops;TRUE
c016;2537;Sugar beet;tonnes;Primary crops;0.77;Feed crops;Sugar crops;TRUE
c017;2546;Beans;tonnes;Primary crops;0.8;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c018;2547;Peas;tonnes;Primary crops;0.83;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c019;2549;Pulses, Other and products;tonnes;Primary crops;0.1;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c020;2551;Nuts and products;tonnes;Primary crops;0;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c021;2555;Soyabeans;tonnes;Primary crops;0.1;Feed crops;Oil crops;TRUE
c022;2556;Groundnuts (Shelled Eq);tonnes;Primary crops;0.06;Feed crops;Oil crops;TRUE
c023;2557;Sunflower seed;tonnes;Primary crops;0.07;Feed crops;Oil crops;TRUE
c024;2558;Rape and Mustardseed;tonnes;Primary crops;0.12;Feed crops;Oil crops;TRUE
c025;328;Seed cotton;tonnes;Primary crops;0;Feed crops;Oil crops;TRUE
c026;2560;Coconuts - Incl Copra;tonnes;Primary crops;0.4;Feed crops;Oil crops;TRUE
c027;2561;Sesame seed;tonnes;Primary crops;0.06;Feed crops;Oil crops;TRUE
c028;254;Oil, palm fruit;tonnes;Primary crops;0;Feed crops;Oil crops;TRUE
c029;2563;Olives (including preserved);tonnes;Primary crops;0;Feed crops;Oil crops;TRUE
c030;2570;Oilcrops, Other;tonnes;Primary crops;0.1;Feed crops;Oil crops;TRUE
c031;2601;Tomatoes and products;tonnes;Primary crops;0.94;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c032;2602;Onions;tonnes;Primary crops;0.89;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c033;2605;Vegetables, Other;tonnes;Primary crops;0.95;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c034;2611;Oranges, Mandarines;tonnes;Primary crops;0.86;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c035;2612;Lemons, Limes and products;tonnes;Primary crops;0;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c036;2613;Grapefruit and products;tonnes;Primary crops;0.88;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c037;2614;Citrus, Other;tonnes;Primary crops;0;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c038;2615;Bananas;tonnes;Primary crops;0.75;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c039;2616;Plantains;tonnes;Primary crops;0.66;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c040;2617;Apples and products;tonnes;Primary crops;0.85;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c041;2618;Pineapples and products;tonnes;Primary crops;0;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c042;2619;Dates;tonnes;Primary crops;0.22;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c043;2620;Grapes and products (excl wine);tonnes;Primary crops;0.81;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c044;2625;Fruits, Other;tonnes;Primary crops;0.85;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c045;2630;Coffee and products;tonnes;Primary crops;0;Feed crops;Coffee, tea, cocoa;TRUE
c046;2633;Cocoa Beans and products;tonnes;Primary crops;0.1;Feed crops;Coffee, tea, cocoa;TRUE
c047;2635;Tea (including mate);tonnes;Primary crops;0.1;Feed crops;Coffee, tea, cocoa;TRUE
c048;677;Hops;tonnes;Primary crops;0;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c049;2640;Pepper;tonnes;Primary crops;0;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c050;2641;Pimento;tonnes;Primary crops;0;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c051;2642;Cloves;tonnes;Primary crops;0.05;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c052;2645;Spices, Other;tonnes;Primary crops;0;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE
c053;2662;Jute;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE
c054;2663;Jute-Like Fibres;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE
c055;2664;Soft-Fibres, Other;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE
c056;2665;Sisal;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE
c057;2666;Abaca;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE
c058;2667;Hard Fibres, Other;tonnes;Primary crops;0;Feed crops;Fibre crops;TRUE
c059;2671;Tobacco;tonnes;Primary crops;0;Feed crops;Tobacco, rubber;TRUE
c060;2672;Rubber;tonnes;Primary crops;0;Feed crops;Tobacco, rubber;TRUE
c061;2000;Fodder crops;tonnes;Primary crops;0.85;Grass;Fodder crops, grazing;TRUE
c062;2001;Grazing;tonnes;Primary crops;0.8;Grass;Fodder crops, grazing;TRUE
c063;2559;Cottonseed;tonnes;Crop products;0.1;Feed crops;Fibre crops;TRUE
c064;2562;Palm kernels;tonnes;Crop products;0.1;Feed crops;Oil crops;TRUE
c065;2541;Sugar non-centrifugal;tonnes;Crop products;0.01;Feed crops;Sugar, sweeteners;TRUE
c066;2544;Molasses;tonnes;Crop products;0.17;Feed crops;Sugar, sweeteners;TRUE
c067;2818;Sugar, Refined Equiv;tonnes;Crop products;0;Feed crops;Sugar, sweeteners;TRUE
c068;2543;Sweeteners, Other;tonnes;Crop products;0.1;Feed crops;Sugar, sweeteners;TRUE
c069;2571;Soyabean Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE
c070;2572;Groundnut Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE
c071;2573;Sunflowerseed Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE
c072;2574;Rape and Mustard Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE
c073;2575;Cottonseed Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE
c074;2576;Palmkernel Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE
c075;2577;Palm Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE
c076;2578;Coconut Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE
c077;2579;Sesameseed Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE
c078;2580;Olive Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE
c079;2581;Ricebran Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE
c080;2582;Maize Germ Oil;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE
c081;2586;Oilcrops Oil, Other;tonnes;Crop products;0;Feed crops;Vegetable oils;TRUE
c082;2590;Soyabean Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE
c083;2591;Groundnut Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE
c084;2592;Sunflowerseed Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE
c085;2593;Rape and Mustard Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE
c086;2594;Cottonseed Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE
c087;2595;Palmkernel Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE
c088;2596;Copra Cake;tonnes;Crop products;0.12;Feed crops;Oil cakes;TRUE
c089;2597;Sesameseed Cake;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE
c090;2598;Oilseed Cakes, Other;tonnes;Crop products;0.1;Feed crops;Oil cakes;TRUE
c091;2655;Wine;tonnes;Crop products;0.85;Feed crops;Alcohol;TRUE
c092;2656;Beer;tonnes;Crop products;0.95;Feed crops;Alcohol;TRUE
c093;2657;Beverages, Fermented;tonnes;Crop products;0.9;Feed crops;Alcohol;TRUE
c094;2658;Beverages, Alcoholic;tonnes;Crop products;0.8;Feed crops;Alcohol;TRUE
c095;2659;Alcohol, Non-Food;tonnes;Crop products;0.2;Feed crops;Ethanol;TRUE
c096;2661;Cotton lint;tonnes;Crop products;0.1;Feed crops;Fibre crops;TRUE
c097;866;Cattle;1000 Head;Livestock;0;NA;Live animals;TRUE
c098;946;Buffaloes;1000 Head;Livestock;0;NA;Live animals;FALSE
c099;976;Sheep;1000 Head;Livestock;0;NA;Live animals;TRUE
c100;1016;Goats;1000 Head;Livestock;0;NA;Live animals;FALSE
c101;1034;Pigs;1000 Head;Livestock;0;NA;Live animals;TRUE
c102;2029;Poultry Birds;1000 Head;Livestock;0;NA;Live animals;TRUE
c103;1096;Horses;1000 Head;Livestock;0;NA;Live animals;FALSE
c104;1107;Asses;1000 Head;Livestock;0;NA;Live animals;FALSE
c105;1110;Mules;1000 Head;Livestock;0;NA;Live animals;FALSE
c106;1126;Camels;1000 Head;Livestock;0;NA;Live animals;FALSE
c107;1157;Camelids, other;1000 Head;Livestock;0;NA;Live animals;FALSE
c108;1140;Rabbits and hares;1000 Head;Livestock;0;NA;Live animals;FALSE
c109;1150;Rodents, other;1000 Head;Livestock;0;NA;Live animals;FALSE
c110;1171;Live animals, other;1000 Head;Livestock;0;NA;Live animals;TRUE
c111;2848;Milk - Excluding Butter;tonnes;Livestock products;0.875;Animal products;Milk;TRUE
c112;2740;Butter, Ghee;tonnes;Livestock products;0.15;Animal products;Milk;FALSE
c113;2744;Eggs;tonnes;Livestock products;0.744;Animal products;Eggs;TRUE
c114;2746;Wool (Clean Eq.);tonnes;Livestock products;0;Animal products;Hides, skins, wool;TRUE
c115;2731;Bovine Meat;tonnes;Livestock products;0.65;Animal products;Meat;TRUE
c116;2732;Mutton & Goat Meat;tonnes;Livestock products;0.6;Animal products;Meat;TRUE
c117;2733;Pigmeat;tonnes;Livestock products;0.6;Animal products;Meat;TRUE
c118;2734;Poultry Meat;tonnes;Livestock products;0.6;Animal products;Meat;TRUE
c119;2735;Meat, Other;tonnes;Livestock products;0.65;Animal products;Meat;TRUE
c120;2736;Offals, Edible;tonnes;Livestock products;0.65;Animal products;Meat;TRUE
c121;2737;Fats, Animals, Raw;tonnes;Livestock products;0.01;Animal products;Animal fats;TRUE
c122;2748;Hides and skins;tonnes;Livestock products;0;Animal products;Hides, skins, wool;TRUE
c123;2749;Meat Meal;tonnes;Livestock products;0.075;Animal products;Meat;TRUE
c124;843;Pet food;tonnes;Livestock products;0.65;Animal products;Meat;TRUE
c125;2745;Honey;tonnes;Livestock products;0.17;Animal products;Honey;TRUE
c126;2747;Silk;tonnes;Livestock products;0;Animal products;Hides, skins, wool;TRUE
c127;2960;Fish, Seafood;tonnes;Fish;0.7;Animal products;Fish;TRUE
c128;1864;Wood fuel;m3;Wood;0;NA;Wood;TRUE
c129;1866;Industrial roundwood, coniferous;m3;Wood;0;NA;Wood;TRUE
c130;1867;Industrial roundwood, non-coniferous;m3;Wood;0;NA;Wood;TRUE