Com.Code;Item;Group;trade;exports;imports
c001;Rice (Milled Equivalent);Primary crops;35,4027502818539;41,4501506230047;37,62545
c002;Wheat and products;Primary crops;197,173516204736;198,33677727819;185,391948
c003;Barley and products;Primary crops;42,8983435096906;41,5858178344164;38,690211
c004;Maize and products;Primary crops;123,670269158189;128,786115366082;122,689875
c005;Rye and products;Primary crops;1,78231925227094;2,37301406668308;2,25607
c006;Oats;Primary crops;3,66438232248677;3,57847325462914;3,912716
c007;Millet and products;Primary crops;0,369264270365818;0,277943621228683;0,348942
c008;Sorghum and products;Primary crops;6,53202469690559;6,390707685856;6,425476
c009;Cereals, Other;Primary crops;3,02860631667118;2,22190774122223;2,885385
c010;Potatoes and products;Primary crops;28,7651557255254;29,2253061213674;31,607481
c011;Cassava and products;Primary crops;38,4037302262313;36,0506267859372;38,375008
c012;Sweet potatoes;Primary crops;0,308127466040253;0,353395035480945;0,332272
c013;Roots, Other;Primary crops;0,57425628950909;0,361480718266406;0,74798
c014;Yams;Primary crops;;0,0725779987343145;0,083405
c015;Sugar cane;Primary crops;;0,0442030262424703;0,964637
c016;Sugar beet;Primary crops;0,771342111136467;0,598172999284715;0,794907
c017;Beans;Primary crops;3,53254866604258;3,86992180293644;3,422748
c018;Peas;Primary crops;4,43575864858838;4,67029891099044;4,259206
c019;Pulses, Other and products;Primary crops;4,67244266272998;5,41027485403553;5,517844
c020;Nuts and products;Primary crops;7,6120021223899;8,31977206312484;7,631192
c021;Soyabeans;Primary crops;105,131161388405;106,92023924198;102,08869
c022;Groundnuts (Shelled Eq);Primary crops;1,99361681449573;2,721048425821;2,462773
c023;Sunflower seed;Primary crops;4,84628416440099;5,28667188210964;4,708395
c024;Rape and Mustardseed;Primary crops;21,4255804790134;21,7901125341836;21,059879
c025;Seed cotton;Primary crops;;0;0
c026;Coconuts - Incl Copra;Primary crops;2,56972952209131;2,62523665375344;2,283407
c027;Sesame seed;Primary crops;1,37304729933349;1,4056318974275;1,44356
c028;Oil, palm fruit;Primary crops;;0;0
c029;Olives (including preserved);Primary crops;1,19947489694774;1,0913683725934;1,124337
c030;Oilcrops, Other;Primary crops;2,10455473439528;2,86126735921603;3,440827
c031;Tomatoes and products;Primary crops;22,7816631128224;21,9877263855762;18,570654
c032;Onions;Primary crops;7,484416461661;7,66671376444885;6,83215
c033;Vegetables, Other;Primary crops;46,2384274240556;44,4580482372855;43,328813
c034;Oranges, Mandarines;Primary crops;38,9936681799264;37,4603452985559;34,997295
c035;Lemons, Limes and products;Primary crops;5,44614401900968;4,28364978536883;4,957565
c036;Grapefruit and products;Primary crops;2,59142393611911;2,16989978815965;2,614891
c037;Citrus, Other;Primary crops;0,850716713406586;0,743904016691956;1,206758
c038;Bananas;Primary crops;19,6056447345098;21,6645693259551;19,427301
c039;Plantains;Primary crops;1,16324459079097;0,661110600262651;1,129667
c040;Apples and products;Primary crops;8,73620227276653;18,4151988681989;20,028173
c041;Pineapples and products;Primary crops;5,99599683447354;7,49418185043239;6,327364
c042;Dates;Primary crops;0,812503106018791;0,84288525040412;0,817978
c043;Grapes and products (excl wine);Primary crops;8,52485845838166;8,94710921119513;8,585428
c044;Fruits, Other;Primary crops;31,3831308564302;29,9359379999004;31,962429
c045;Coffee and products;Primary crops;10,6235185117644;10,4773601099207;10,073987
c046;Cocoa Beans and products;Primary crops;8,77470313825971;7,90360556932421;8,484563
c047;Tea (including mate);Primary crops;2,15386797235257;2,30778768790466;2,109754
c048;Hops;Primary crops;0,0455788099716649;0,0412216668994533;0,0455383381607945
c049;Pepper;Primary crops;0,36855158522068;0,364376;0,322796
c050;Pimento;Primary crops;0,611753812695589;0,572451;0,549766
c051;Cloves;Primary crops;0,0427699625024646;0,0283640522892321;0,035888
c052;Spices, Other;Primary crops;1,92535615536826;1,64481596391432;1,575996
c053;Jute;Primary crops;0,354930891406458;0,286896;0,357814
c054;Jute-Like Fibres;Primary crops;;0;1,3e-05
c055;Soft-Fibres, Other;Primary crops;0,370872009635687;0,33760031428637;0,37643
c056;Sisal;Primary crops;;0,020411;0,007722
c057;Abaca;Primary crops;0,0105539206406989;0,006028;0,007888
c058;Hard Fibres, Other;Primary crops;;0,925515043821987;0,797288
c059;Tobacco;Primary crops;4,17669863997734;3,63033865528031;3,859622
c060;Rubber;Primary crops;8,75671854700418;9,25080362185922;8,627708
c061;Fodder crops;Primary crops;48,6039965332009;47,8358520178659;48,3546308596525
c062;Grazing;Primary crops;;;
c063;Cottonseed;Crop products;1,2601993347473;1,25529803593876;1,223407
c064;Palm kernels;Crop products;;0,048963;0,069111
c065;Sugar non-centrifugal;Crop products;3,8e-05;0,014075;0,022557
c066;Molasses;Crop products;7,46203088821047;6,83847885562136;7,018235
c067;Sugar, Refined Equiv;Crop products;62,9463499925809;62,8803547591825;56,69752
c068;Sweeteners, Other;Crop products;12,6161743293656;10,8049464826519;12,693527
c069;Soyabean Oil;Crop products;9,92024920813924;10,9196643626986;10,20769
c070;Groundnut Oil;Crop products;0,214998686225727;0,270452062348011;0,231955
c071;Sunflowerseed Oil;Crop products;8,13044300223366;9,09839203722112;8,712318
c072;Rape and Mustard Oil;Crop products;6,5583855019257;7,75267360327045;6,751605
c073;Cottonseed Oil;Crop products;0,141427985974968;0,268153607444112;0,171358
c074;Palmkernel Oil;Crop products;3,37783748425499;3,25195142605403;3,192241
c075;Palm Oil;Crop products;49,1831654340983;50,5883118356215;48,860742
c076;Coconut Oil;Crop products;2,28253459615405;3,39908205233596;3,265804
c077;Sesameseed Oil;Crop products;0,0681330547265561;0,0829557723839948;0,118262
c078;Olive Oil;Crop products;1,94233474068481;1,84208428136495;1,908873
c079;Ricebran Oil;Crop products;0,0488726843198339;0,0299570007609355;0,031579
c080;Maize Germ Oil;Crop products;0,855951418317693;0,881868;0,747282
c081;Oilcrops Oil, Other;Crop products;6,14967845249659;3,70286016935568;5,794717
c082;Soyabean Cake;Crop products;63,4388536274689;62,1924340024234;61,88488
c083;Groundnut Cake;Crop products;0,0944627578645331;0,094349;0,111953
c084;Sunflowerseed Cake;Crop products;6,78344898304937;6,65773149770882;6,398552
c085;Rape and Mustard Cake;Crop products;10,5204176662013;10,566752;10,033999
c086;Cottonseed Cake;Crop products;0,620328945146176;0,631801;0,554453
c087;Palmkernel Cake;Crop products;7,60226476582135;6,705409;7,374835
c088;Copra Cake;Crop products;1,09811133875227;1,0680348470255;1,036722
c089;Sesameseed Cake;Crop products;0,004154;0,009753;0
c090;Oilseed Cakes, Other;Crop products;0,185234413509355;1,7684046648465;1,449487
c091;Wine;Crop products;10,3558786671043;10,5464195063228;10,223936
c092;Beer;Crop products;13,0179769570812;13,8004952436978;12,582928
c093;Beverages, Fermented;Crop products;1,11435022133788;1,16992752124319;1,094251
c094;Beverages, Alcoholic;Crop products;4,52859527142898;4,68756553766561;4,27705
c095;Alcohol, Non-Food;Crop products;9,17320491411722;9,01899749693498;9,01799103083819
c096;Cotton lint;Crop products;9,93871210167371;9,48402511052954;9,320662
c097;Cattle;Livestock;0,0104777530596366;0,0104777160596366;0,0104626570596366
c098;Buffaloes;Livestock;9,52070460953205e-05;9,52070460953205e-05;9,52070460953205e-05
c099;Sheep;Livestock;0,011514783;0,011416811;0,011511167
c100;Goats;Livestock;0,00398023344885119;0,00397806444885119;0,00397635344885119
c101;Pigs;Livestock;0,036823457;0,036823457;0,036820502
c102;Poultry Birds;Livestock;1,55434396431938;1,5539083902718;1,55312608750064
c103;Horses;Livestock;0,000325832838757838;0,000325594838757838;0,000325686838757838
c104;Asses;Livestock;6,03866961434537e-06;6,03720265291083e-06;6,03866961434537e-06
c105;Mules;Livestock;7,37704090539241e-06;7,23404090539241e-06;7,37504090539241e-06
c106;Camels;Livestock;0,000232658982626167;0,000232268982626167;0,000232658982626167
c107;Camelids, other;Livestock;1,38950191082803e-06;1,38950191082803e-06;1,38950191082803e-06
c108;Rabbits and hares;Livestock;;0,0109037783183383;0,0108900710874153
c109;Rodents, other;Livestock;0,000198;0,000198;0,000198
c110;Live animals, other;Livestock;1,72236647694411;1,72105102278;1,72132243620893
c111;Milk - Excluding Butter;Livestock products;117,100239466519;124,66597147598;116,816173
c112;Butter, Ghee;Livestock products;1,34988340429893;1,66674992496042;1,664044
c113;Eggs;Livestock products;2,6200848415832;2,77687287696523;2,553377
c114;Wool (Clean Eq.);Livestock products;0,82737064217135;0,833210843080759;0,761748
c115;Bovine Meat;Livestock products;10,4911194977343;11,8747505198582;10,042986
c116;Mutton & Goat Meat;Livestock products;1,15298480185728;1,20907569956639;1,071288
c117;Pigmeat;Livestock products;13,1073058647489;15,402475725675;14,897344
c118;Poultry Meat;Livestock products;15,5015487726111;16,6908835484099;15,12445
c119;Meat, Other;Livestock products;1,07757713302768;0,668855416239396;1,222497
c120;Offals, Edible;Livestock products;4,38358211390335;4,92133788128182;3,894936
c121;Fats, Animals, Raw;Livestock products;5,03752354461993;5,50075692692233;5,073861
c122;Hides and skins;Livestock products;3,87202486583248;3,95676568006646;5,520052
c123;Meat Meal;Livestock products;3,01251575577379;1,47576505337691;2,643508
c124;Pet food;Livestock products;5,95446797277002;5,9513908961484;5,94637667020247
c125;Honey;Livestock products;0,58005177260786;0,55877;0,568201
c126;Silk;Livestock products;0,028738317070756;0,0127935631085953;0,014077
c127;Fish, Seafood;Fish;19,2634254861235;54,9425811133555;60,314955
c128;Wood fuel;Wood;;9,017504;6,582237
c129;Industrial roundwood, coniferous;Wood;;84,290724;83,142908
c130;Industrial roundwood, non-coniferous;Wood;52,526083;41,946247;43,501846
