Var1;Var2;value;year;region;type
Food;crop;51437188.7037552;1986;EU;mass
OtherUses;crop;7894067.53806168;1986;EU;mass
Food;lvst;97668914.257555;1986;EU;mass
OtherUses;lvst;13769929.3035117;1986;EU;mass
Food;crop;53796531.1474022;1986;EU;price
OtherUses;crop;10100929.5352268;1986;EU;price
Food;lvst;90325217.0367121;1986;EU;price
OtherUses;lvst;11821517.9685458;1986;EU;price
Food;crop;26314352.5453461;1986;US;mass
OtherUses;crop;5040032.7539661;1986;US;mass
Food;lvst;72515721.8206041;1986;US;mass
OtherUses;lvst;5333142.11461919;1986;US;mass
Food;crop;28375952.4334182;1986;US;price
OtherUses;crop;6308721.39352126;1986;US;price
Food;lvst;76116388.4671798;1986;US;price
OtherUses;lvst;2548739.87102614;1986;US;price
Food;crop;92276059.1367858;1986;CN;mass
OtherUses;crop;6189232.10149594;1986;CN;mass
Food;lvst;28656271.1566638;1986;CN;mass
OtherUses;lvst;2449867.87266822;1986;CN;mass
Food;crop;94860428.3516184;1986;CN;price
OtherUses;crop;7304926.29711345;1986;CN;price
Food;lvst;26333294.1895882;1986;CN;price
OtherUses;lvst;1895806.55086603;1986;CN;price
Food;crop;50649003.1728086;1987;EU;mass
OtherUses;crop;7336141.80740948;1987;EU;mass
Food;lvst;97374989.0476667;1987;EU;mass
OtherUses;lvst;12962018.7611061;1987;EU;mass
Food;crop;52580360.1916004;1987;EU;price
OtherUses;crop;9493703.71546725;1987;EU;price
Food;lvst;92713500.0157944;1987;EU;price
OtherUses;lvst;10290360.7243202;1987;EU;price
Food;crop;25977455.8739974;1987;US;mass
OtherUses;crop;5471046.38585854;1987;US;mass
Food;lvst;71216820.509507;1987;US;mass
OtherUses;lvst;5353567.14423706;1987;US;mass
Food;crop;27645417.6536448;1987;US;price
OtherUses;crop;7023690.50170904;1987;US;price
Food;lvst;75110982.4348055;1987;US;price
OtherUses;lvst;2434704.71083819;1987;US;price
Food;crop;94693899.0416295;1987;CN;mass
OtherUses;crop;9350302.67474325;1987;CN;mass
Food;lvst;28607217.8597796;1987;CN;mass
OtherUses;lvst;2371037.3612079;1987;CN;mass
Food;crop;97343220.5681669;1987;CN;price
OtherUses;crop;10516577.1940898;1987;CN;price
Food;lvst;26301222.7269318;1987;CN;price
OtherUses;lvst;1563033.68756124;1987;CN;price
Food;crop;54604687.7835478;1988;EU;mass
OtherUses;crop;7766796.81589145;1988;EU;mass
Food;lvst;95049840.317534;1988;EU;mass
OtherUses;lvst;13623471.6633352;1988;EU;mass
Food;crop;56749888.6522046;1988;EU;price
OtherUses;crop;10098474.4226263;1988;EU;price
Food;lvst;88112462.3058612;1988;EU;price
OtherUses;lvst;11816071.2325106;1988;EU;price
Food;crop;30298876.8357737;1988;US;mass
OtherUses;crop;6367578.96525675;1988;US;mass
Food;lvst;76445162.3357345;1988;US;mass
OtherUses;lvst;5263122.3973962;1988;US;mass
Food;crop;32538408.6828124;1988;US;price
OtherUses;crop;8193411.64875417;1988;US;price
Food;lvst;80577227.6372539;1988;US;price
OtherUses;lvst;2392007.87349568;1988;US;price
Food;crop;97843187.2926659;1988;CN;mass
OtherUses;crop;10096623.0186441;1988;CN;mass
Food;lvst;28565130.0829342;1988;CN;mass
OtherUses;lvst;2292368.5050123;1988;CN;mass
Food;crop;101875333.54162;1988;CN;price
OtherUses;crop;12179582.7123475;1988;CN;price
Food;lvst;25338037.4569399;1988;CN;price
OtherUses;lvst;1580731.30762081;1988;CN;price
Food;crop;51712504.8880168;1989;EU;mass
OtherUses;crop;7402169.0174135;1989;EU;mass
Food;lvst;91541083.0897571;1989;EU;mass
OtherUses;lvst;12477714.1028624;1989;EU;mass
Food;crop;54110032.2384697;1989;EU;price
OtherUses;crop;9559783.93138824;1989;EU;price
Food;lvst;85522085.803764;1989;EU;price
OtherUses;lvst;10226507.9372491;1989;EU;price
Food;crop;28336470.7848881;1989;US;mass
OtherUses;crop;5441204.96183366;1989;US;mass
Food;lvst;68150472.8431982;1989;US;mass
OtherUses;lvst;4796094.49040485;1989;US;mass
Food;crop;29901074.079576;1989;US;price
OtherUses;crop;6689920.83457712;1989;US;price
Food;lvst;72221206.5396169;1989;US;price
OtherUses;lvst;1896822.51535224;1989;US;price
Food;crop;95871556.0764009;1989;CN;mass
OtherUses;crop;11106588.1650591;1989;CN;mass
Food;lvst;28984209.5666928;1989;CN;mass
OtherUses;lvst;2169248.841319;1989;CN;mass
Food;crop;98383337.9445141;1989;CN;price
OtherUses;crop;13381796.8757153;1989;CN;price
Food;lvst;26523569.9031152;1989;CN;price
OtherUses;lvst;1383596.68147743;1989;CN;price
Food;crop;51581038.2238701;1990;EU;mass
OtherUses;crop;7671807.56919633;1990;EU;mass
Food;lvst;93280861.7498953;1990;EU;mass
OtherUses;lvst;12657820.5987812;1990;EU;mass
Food;crop;53827946.770434;1990;EU;price
OtherUses;crop;9638886.31977774;1990;EU;price
Food;lvst;87252395.8378547;1990;EU;price
OtherUses;lvst;9743526.01975427;1990;EU;price
Food;crop;28032368.1662233;1990;US;mass
OtherUses;crop;5986840.01718421;1990;US;mass
Food;lvst;68386070.3155333;1990;US;mass
OtherUses;lvst;5129628.76545012;1990;US;mass
Food;crop;30477764.8295019;1990;US;price
OtherUses;crop;7797563.17103179;1990;US;price
Food;lvst;71589054.9784772;1990;US;price
OtherUses;lvst;1912750.79269162;1990;US;price
Food;crop;92180538.2906001;1990;CN;mass
OtherUses;crop;11239711.7712034;1990;CN;mass
Food;lvst;27100256.737572;1990;CN;mass
OtherUses;lvst;1868379.4122165;1990;CN;mass
Food;crop;94536480.9461632;1990;CN;price
OtherUses;crop;13806834.8529091;1990;CN;price
Food;lvst;23839897.581144;1990;CN;price
OtherUses;lvst;1289613.98515854;1990;CN;price
Food;crop;48103891.9279115;1991;EU;mass
OtherUses;crop;7105558.08444296;1991;EU;mass
Food;lvst;88087928.3802725;1991;EU;mass
OtherUses;lvst;10374628.1097639;1991;EU;mass
Food;crop;50619370.1857206;1991;EU;price
OtherUses;crop;8745491.95408993;1991;EU;price
Food;lvst;82394586.1909687;1991;EU;price
OtherUses;lvst;7042506.9656129;1991;EU;price
Food;crop;29279982.7272018;1991;US;mass
OtherUses;crop;6338272.97260067;1991;US;mass
Food;lvst;68453877.036106;1991;US;mass
OtherUses;lvst;5980914.34806479;1991;US;mass
Food;crop;31761410.3520245;1991;US;price
OtherUses;crop;8301868.13435558;1991;US;price
Food;lvst;72043529.3760982;1991;US;price
OtherUses;lvst;2230941.22999433;1991;US;price
Food;crop;93908337.0295966;1991;CN;mass
OtherUses;crop;11010494.8843184;1991;CN;mass
Food;lvst;28753359.1340634;1991;CN;mass
OtherUses;lvst;2294358.07566826;1991;CN;mass
Food;crop;97418502.2383807;1991;CN;price
OtherUses;crop;14040241.4030879;1991;CN;price
Food;lvst;25301599.5963995;1991;CN;price
OtherUses;lvst;1703936.72427773;1991;CN;price
Food;crop;52269928.5010354;1992;EU;mass
OtherUses;crop;7943368.10957465;1992;EU;mass
Food;lvst;88384377.3329857;1992;EU;mass
OtherUses;lvst;12517316.6462341;1992;EU;mass
Food;crop;55071377.6558418;1992;EU;price
OtherUses;crop;9645470.60810648;1992;EU;price
Food;lvst;82533849.2557252;1992;EU;price
OtherUses;lvst;9386500.14545752;1992;EU;price
Food;crop;28488282.0252173;1992;US;mass
OtherUses;crop;6334606.43129708;1992;US;mass
Food;lvst;61080033.4618313;1992;US;mass
OtherUses;lvst;4797682.3694024;1992;US;mass
Food;crop;30622906.1687103;1992;US;price
OtherUses;crop;8170546.89540008;1992;US;price
Food;lvst;64187094.5431347;1992;US;price
OtherUses;lvst;2033190.40394203;1992;US;price
Food;crop;92521026.5236867;1992;CN;mass
OtherUses;crop;9793523.76219146;1992;CN;mass
Food;lvst;32255815.4027655;1992;CN;mass
OtherUses;lvst;3075534.14206556;1992;CN;mass
Food;crop;95708745.9915032;1992;CN;price
OtherUses;crop;12707814.9662411;1992;CN;price
Food;lvst;28628984.0275762;1992;CN;price
OtherUses;lvst;2316186.72586482;1992;CN;price
Food;crop;52984623.6245563;1993;EU;mass
OtherUses;crop;7702476.88779649;1993;EU;mass
Food;lvst;84411137.0918421;1993;EU;mass
OtherUses;lvst;11932176.7960992;1993;EU;mass
Food;crop;55882736.8195635;1993;EU;price
OtherUses;crop;9271981.87925771;1993;EU;price
Food;lvst;79322427.03167;1993;EU;price
OtherUses;lvst;8428484.03654764;1993;EU;price
Food;crop;29990839.4094391;1993;US;mass
OtherUses;crop;7630112.47218118;1993;US;mass
Food;lvst;72721174.6382565;1993;US;mass
OtherUses;lvst;5964850.91620869;1993;US;mass
Food;crop;32428261.3993648;1993;US;price
OtherUses;crop;9801722.30937186;1993;US;price
Food;lvst;76576708.9381779;1993;US;price
OtherUses;lvst;2358005.23378124;1993;US;price
Food;crop;93669140.3191647;1993;CN;mass
OtherUses;crop;8298399.1478074;1993;CN;mass
Food;lvst;34041072.8956254;1993;CN;mass
OtherUses;lvst;3031380.89647942;1993;CN;mass
Food;crop;96407997.1398623;1993;CN;price
OtherUses;crop;10276966.0289533;1993;CN;price
Food;lvst;30582044.4572416;1993;CN;price
OtherUses;lvst;2246559.6944594;1993;CN;price
Food;crop;59515071.3637212;1994;EU;mass
OtherUses;crop;8555740.65143618;1994;EU;mass
Food;lvst;87044388.0909005;1994;EU;mass
OtherUses;lvst;13181844.2343644;1994;EU;mass
Food;crop;62983208.4561606;1994;EU;price
OtherUses;crop;10420863.5723023;1994;EU;price
Food;lvst;80156087.9636016;1994;EU;price
OtherUses;lvst;10056895.3301441;1994;EU;price
Food;crop;29355350.0405628;1994;US;mass
OtherUses;crop;6531910.46011476;1994;US;mass
Food;lvst;64981303.636446;1994;US;mass
OtherUses;lvst;4848411.35750269;1994;US;mass
Food;crop;32133836.9519864;1994;US;price
OtherUses;crop;8537088.22587996;1994;US;price
Food;lvst;67045216.3537254;1994;US;price
OtherUses;lvst;2013299.73759115;1994;US;price
Food;crop;98724759.0191861;1994;CN;mass
OtherUses;crop;8460217.31763582;1994;CN;mass
Food;lvst;38204656.9485754;1994;CN;mass
OtherUses;lvst;5214497.81556869;1994;CN;mass
Food;crop;101704888.819561;1994;CN;price
OtherUses;crop;11214608.2255421;1994;CN;price
Food;lvst;34152645.1022686;1994;CN;price
OtherUses;lvst;3454107.47087772;1994;CN;price
Food;crop;53575929.8429215;1995;EU;mass
OtherUses;crop;8019480.33086122;1995;EU;mass
Food;lvst;88521177.431054;1995;EU;mass
OtherUses;lvst;13044770.1361361;1995;EU;mass
Food;crop;57143275.1952678;1995;EU;price
OtherUses;crop;10026497.1904976;1995;EU;price
Food;lvst;81548342.6863889;1995;EU;price
OtherUses;lvst;9736075.87449425;1995;EU;price
Food;crop;31369205.2058746;1995;US;mass
OtherUses;crop;6825527.20143766;1995;US;mass
Food;lvst;65110450.5844062;1995;US;mass
OtherUses;lvst;4487220.07091406;1995;US;mass
Food;crop;35330740.9641072;1995;US;price
OtherUses;crop;8947693.76076453;1995;US;price
Food;lvst;65456160.2964315;1995;US;price
OtherUses;lvst;1789518.28542494;1995;US;price
Food;crop;98970477.7199834;1995;CN;mass
OtherUses;crop;11231902.5908043;1995;CN;mass
Food;lvst;35931752.1121633;1995;CN;mass
OtherUses;lvst;7887959.79555964;1995;CN;mass
Food;crop;101989214.083765;1995;CN;price
OtherUses;crop;14563560.6167752;1995;CN;price
Food;lvst;32247277.1601987;1995;CN;price
OtherUses;lvst;5190430.00032649;1995;CN;price
Food;crop;49823703.0360789;1996;EU;mass
OtherUses;crop;8311040.44527998;1996;EU;mass
Food;lvst;84056262.44251;1996;EU;mass
OtherUses;lvst;11909168.4153048;1996;EU;mass
Food;crop;53140899.2199022;1996;EU;price
OtherUses;crop;10279289.499089;1996;EU;price
Food;lvst;78248982.7230662;1996;EU;price
OtherUses;lvst;9131507.37801841;1996;EU;price
Food;crop;29742727.9745242;1996;US;mass
OtherUses;crop;7080204.20266943;1996;US;mass
Food;lvst;66881136.8053352;1996;US;mass
OtherUses;lvst;5239322.83776398;1996;US;mass
Food;crop;31938004.8056957;1996;US;price
OtherUses;crop;9085957.75036204;1996;US;price
Food;lvst;69674533.596554;1996;US;price
OtherUses;lvst;1960341.15666114;1996;US;price
Food;crop;96416809.4981476;1996;CN;mass
OtherUses;crop;12715948.5333587;1996;CN;mass
Food;lvst;40351131.4846789;1996;CN;mass
OtherUses;lvst;5271810.39007361;1996;CN;mass
Food;crop;99023251.4208209;1996;CN;price
OtherUses;crop;16258850.6533379;1996;CN;price
Food;lvst;36393278.131737;1996;CN;price
OtherUses;lvst;3328471.41902892;1996;CN;price
Food;crop;49881050.0453721;1997;EU;mass
OtherUses;crop;8170627.55751283;1997;EU;mass
Food;lvst;80799591.2006969;1997;EU;mass
OtherUses;lvst;11179330.357387;1997;EU;mass
Food;crop;52741709.6635398;1997;EU;price
OtherUses;crop;10081046.3045933;1997;EU;price
Food;lvst;75964096.0747904;1997;EU;price
OtherUses;lvst;9090920.65632628;1997;EU;price
Food;crop;28612419.9094787;1997;US;mass
OtherUses;crop;7463627.27293968;1997;US;mass
Food;lvst;62944780.3684569;1997;US;mass
OtherUses;lvst;5232012.26556019;1997;US;mass
Food;crop;30791937.1790432;1997;US;price
OtherUses;crop;9500628.37910222;1997;US;price
Food;lvst;64635982.8758594;1997;US;price
OtherUses;lvst;2172848.84438202;1997;US;price
Food;crop;95257937.5526657;1997;CN;mass
OtherUses;crop;11569292.2686179;1997;CN;mass
Food;lvst;43492405.5717657;1997;CN;mass
OtherUses;lvst;5401415.62056895;1997;CN;mass
Food;crop;97502334.1988148;1997;CN;price
OtherUses;crop;14626819.6908879;1997;CN;price
Food;lvst;40148624.7055575;1997;CN;price
OtherUses;lvst;3564582.93021318;1997;CN;price
Food;crop;49092427.1300699;1998;EU;mass
OtherUses;crop;8923862.5491115;1998;EU;mass
Food;lvst;83591544.3980489;1998;EU;mass
OtherUses;lvst;11841730.7040625;1998;EU;mass
Food;crop;52348649.4860812;1998;EU;price
OtherUses;crop;11048833.1978769;1998;EU;price
Food;lvst;77709231.546731;1998;EU;price
OtherUses;lvst;8835478.21413001;1998;EU;price
Food;crop;28063708.3447234;1998;US;mass
OtherUses;crop;7295418.83676571;1998;US;mass
Food;lvst;66031794.9432428;1998;US;mass
OtherUses;lvst;5450701.91223122;1998;US;mass
Food;crop;30825524.1141558;1998;US;price
OtherUses;crop;9164498.85884202;1998;US;price
Food;lvst;66868807.654706;1998;US;price
OtherUses;lvst;2472583.71011221;1998;US;price
Food;crop;98091678.5297066;1998;CN;mass
OtherUses;crop;10214474.8426075;1998;CN;mass
Food;lvst;42283711.812798;1998;CN;mass
OtherUses;lvst;5560180.40958148;1998;CN;mass
Food;crop;100645861.705281;1998;CN;price
OtherUses;crop;12914961.5157167;1998;CN;price
Food;lvst;38656176.8828729;1998;CN;price
OtherUses;lvst;3231360.66418171;1998;CN;price
Food;crop;48385471.3064285;1999;EU;mass
OtherUses;crop;8446917.02472629;1999;EU;mass
Food;lvst;83082825.6229223;1999;EU;mass
OtherUses;lvst;10940945.9297418;1999;EU;mass
Food;crop;51460631.0823952;1999;EU;price
OtherUses;crop;10419806.9042115;1999;EU;price
Food;lvst;77581053.85457;1999;EU;price
OtherUses;lvst;7164565.30303888;1999;EU;price
Food;crop;29814293.4852096;1999;US;mass
OtherUses;crop;8262037.51657922;1999;US;mass
Food;lvst;66762757.3612189;1999;US;mass
OtherUses;lvst;5786667.98770032;1999;US;mass
Food;crop;33271638.9523627;1999;US;price
OtherUses;crop;11274395.0513778;1999;US;price
Food;lvst;67395174.8957771;1999;US;price
OtherUses;lvst;2364900.93835859;1999;US;price
Food;crop;97488101.8107127;1999;CN;mass
OtherUses;crop;10354559.013408;1999;CN;mass
Food;lvst;44224294.2582291;1999;CN;mass
OtherUses;lvst;6105612.02933747;1999;CN;mass
Food;crop;101101743.993038;1999;CN;price
OtherUses;crop;13544046.9240145;1999;CN;price
Food;lvst;39039218.6222517;1999;CN;price
